invoice,Branch,Date,Gender,"Product line",Sales
225-98-1496,Giza,3/2/2019,Female,"Fashion accessories",85.113
291-32-1427,Cairo,3/5/2019,Female,"Fashion accessories",115.185
659-65-8956,Cairo,1/16/2019,Female,"Fashion accessories",53.928
642-32-2990,Alex,2/2/2019,Female,"Food and beverages",115.08
378-24-2715,Cairo,1/20/2019,Female,"Home and lifestyle",112.224
638-60-7125,Alex,2/14/2019,Female,"Electronic accessories",836.304
659-36-1684,Giza,1/12/2019,Female,"Sports and travel",419.832
219-22-9386,Cairo,3/9/2019,Female,"Sports and travel",944.622
336-78-2147,Giza,3/13/2019,Female,"Home and lifestyle",536.844
268-27-6179,Cairo,3/9/2019,Female,"Fashion accessories",474.348
668-90-8900,Alex,3/10/2019,Female,"Home and lifestyle",688.6215
870-54-3162,Alex,1/27/2019,Female,"Sports and travel",169.3125
189-08-9157,Giza,1/8/2019,Female,"Fashion accessories",299.8485
663-86-9076,Giza,1/8/2019,Female,"Food and beverages",575.736
549-84-7482,Cairo,2/8/2019,Female,"Sports and travel",853.146
191-10-6171,Cairo,1/25/2019,Female,"Fashion accessories",291.207
802-70-5316,Alex,3/6/2019,Female,"Sports and travel",580.419
695-51-0018,Cairo,2/10/2019,Female,"Sports and travel",146.328
590-83-4591,Cairo,2/17/2019,Female,"Electronic accessories",550.935
483-71-1164,Giza,3/8/2019,Female,"Health and beauty",512.19
597-78-7908,Giza,2/18/2019,Female,"Fashion accessories",284.193
700-81-1757,Alex,1/18/2019,Female,"Electronic accessories",138.1275
354-39-5160,Alex,2/18/2019,Female,"Home and lifestyle",216.846
241-72-9525,Cairo,2/16/2019,Female,"Sports and travel",545.055
575-30-8091,Alex,3/16/2019,Female,"Sports and travel",609
731-81-9469,Giza,1/23/2019,Female,"Sports and travel",942.9
280-17-4359,Giza,1/25/2019,Male,"Health and beauty",950.25
338-65-2210,Giza,2/5/2019,Female,"Health and beauty",720.3
488-25-4221,Giza,2/22/2019,Female,"Food and beverages",31.9305
239-10-7476,Alex,1/21/2019,Female,"Home and lifestyle",491.085
458-41-1477,Giza,3/8/2019,Female,"Health and beauty",291.438
685-64-1609,Alex,2/10/2019,Female,"Fashion accessories",316.47
568-90-5112,Giza,3/19/2019,Male,"Health and beauty",277.788
262-47-2794,Cairo,3/6/2019,Male,"Home and lifestyle",603.624
238-49-0436,Alex,3/27/2019,Male,"Health and beauty",272.664
608-96-3517,Cairo,3/23/2019,Female,"Fashion accessories",384.468
584-86-7256,Giza,3/11/2019,Male,"Sports and travel",254.016
746-94-0204,Alex,1/29/2019,Male,"Fashion accessories",786.618
214-17-6927,Giza,2/7/2019,Female,"Food and beverages",103.824
400-89-4171,Giza,1/28/2019,Female,"Sports and travel",680.148
782-95-9291,Alex,2/20/2019,Male,"Food and beverages",484.5225
279-74-2924,Cairo,1/4/2019,Male,"Electronic accessories",75.7785
307-85-2293,Cairo,3/7/2019,Male,"Home and lifestyle",263.97
743-04-1105,Cairo,3/30/2019,Male,"Health and beauty",918.729
423-57-2993,Cairo,3/27/2019,Male,"Sports and travel",588.357
894-41-5205,Giza,1/19/2019,Female,"Food and beverages",362.712
275-28-0149,Alex,2/25/2019,Male,"Sports and travel",66.8745
101-17-6199,Alex,3/13/2019,Male,"Food and beverages",336.5565
423-80-0988,Giza,1/30/2019,Male,"Sports and travel",160.44
548-46-9322,Cairo,2/20/2019,Male,"Food and beverages",418.95
505-02-0892,Cairo,2/25/2019,Male,"Health and beauty",357.588
234-65-2137,Giza,1/16/2019,Male,"Home and lifestyle",1003.59
687-47-8271,Alex,2/8/2019,Male,"Fashion accessories",1039.29
796-32-9050,Alex,1/19/2019,Male,"Food and beverages",323.064
105-31-1824,Alex,2/1/2019,Male,"Sports and travel",510.972
249-42-3782,Alex,1/3/2019,Male,"Health and beauty",367.5525
316-55-4634,Cairo,1/26/2019,Male,"Food and beverages",420.2625
733-33-4967,Giza,3/3/2019,Male,"Electronic accessories",175.14
608-27-6295,Cairo,1/19/2019,Male,"Electronic accessories",333.207
414-12-7047,Cairo,1/18/2019,Male,"Food and beverages",166.236
827-26-2100,Alex,3/21/2019,Male,"Home and lifestyle",319.788
175-54-2529,Alex,3/3/2019,Male,"Food and beverages",186.228
139-52-2867,Giza,2/13/2019,Female,"Fashion accessories",165.4485
407-63-8975,Alex,3/23/2019,Male,"Food and beverages",465.444
342-65-4817,Giza,1/28/2019,Male,"Health and beauty",273.42
130-98-8941,Giza,2/9/2019,Male,"Fashion accessories",472.311
434-83-9547,Giza,1/23/2019,Male,"Food and beverages",323.148
851-28-6367,Alex,3/23/2019,Male,"Sports and travel",162.75
824-88-3614,Giza,1/25/2019,Male,"Health and beauty",288.204
586-25-0848,Alex,3/4/2019,Female,"Sports and travel",90.699
895-66-0685,Cairo,3/5/2019,Male,"Food and beverages",56.952
305-14-0245,Cairo,3/3/2019,Female,"Home and lifestyle",793.716
732-04-5373,Cairo,2/8/2019,Male,"Home and lifestyle",195.174
400-60-7251,Alex,2/10/2019,Male,"Home and lifestyle",77.7735
593-65-1552,Giza,1/28/2019,Female,"Home and lifestyle",293.202
284-34-9626,Cairo,2/11/2019,Female,"Home and lifestyle",242.676
437-58-8131,Cairo,1/15/2019,Female,"Fashion accessories",154.392
286-43-6208,Giza,3/16/2019,Female,"Food and beverages",829.71
641-43-2399,Cairo,1/26/2019,Male,"Home and lifestyle",107.31
831-07-6050,Alex,3/19/2019,Male,"Electronic accessories",171.7275
556-86-3144,Giza,1/13/2019,Female,"Fashion accessories",78.0045
848-24-9445,Giza,3/26/2019,Male,"Health and beauty",91.77
856-22-8149,Alex,3/23/2019,Female,"Home and lifestyle",26.5545
699-01-4164,Giza,3/12/2019,Male,"Health and beauty",174.3
420-11-4919,Giza,2/17/2019,Female,"Food and beverages",374.7975
606-80-4905,Giza,1/29/2019,Female,"Sports and travel",120.645
542-41-0513,Cairo,3/15/2019,Female,"Electronic accessories",241.458
426-39-2418,Giza,1/14/2019,Male,"Electronic accessories",451.3635
875-46-5808,Cairo,2/6/2019,Male,"Health and beauty",271.95
394-43-4238,Cairo,2/15/2019,Male,"Home and lifestyle",93.2925
749-24-1565,Alex,1/3/2019,Female,"Health and beauty",217.6335
672-51-8681,Giza,1/4/2019,Female,"Electronic accessories",629.8425
263-87-5680,Giza,3/18/2019,Female,"Home and lifestyle",299.565
573-58-9734,Cairo,3/28/2019,Female,"Fashion accessories",95.6655
817-69-8206,Cairo,3/2/2019,Female,"Electronic accessories",942.4485
888-02-0338,Alex,1/25/2019,Male,"Electronic accessories",247.8735
677-11-0152,Giza,1/16/2019,Female,"Food and beverages",881.307
142-63-6033,Cairo,3/20/2019,Male,"Home and lifestyle",484.89
656-16-1063,Cairo,1/4/2019,Male,"Sports and travel",146.223
891-58-8335,Cairo,3/11/2019,Female,"Sports and travel",217.6335
802-43-8934,Alex,3/22/2019,Male,"Home and lifestyle",19.194
560-30-5617,Cairo,3/24/2019,Female,"Sports and travel",130.0425
319-74-2561,Alex,2/21/2019,Female,"Electronic accessories",298.116
549-03-9315,Cairo,2/12/2019,Male,"Fashion accessories",796.908
790-29-1172,Cairo,3/10/2019,Female,"Food and beverages",180.621
239-36-3640,Cairo,1/31/2019,Male,"Electronic accessories",285.705
468-01-2051,Cairo,3/6/2019,Male,"Food and beverages",456.288
389-25-3394,Giza,2/17/2019,Male,"Electronic accessories",62.0025
279-62-1445,Giza,2/21/2019,Female,"Fashion accessories",13.167
213-72-6612,Alex,3/20/2019,Male,"Food and beverages",90.825
746-68-6593,Giza,1/11/2019,Female,"Sports and travel",183.036
836-82-5858,Cairo,1/26/2019,Male,"Health and beauty",655.5465
583-72-1480,Giza,1/31/2019,Male,"Electronic accessories",155.652
466-61-5506,Cairo,2/26/2019,Female,"Electronic accessories",571.41
721-86-6247,Alex,3/11/2019,Female,"Home and lifestyle",532.728
289-65-5721,Cairo,1/26/2019,Female,"Fashion accessories",170.877
545-46-3100,Cairo,3/12/2019,Female,"Electronic accessories",33.3585
418-02-5978,Cairo,2/11/2019,Female,"Health and beauty",794.6505
269-04-5750,Cairo,2/21/2019,Male,"Fashion accessories",310.044
157-13-5295,Alex,3/9/2019,Male,"Health and beauty",545.37
645-78-8093,Alex,1/20/2019,Female,"Sports and travel",195.594
211-30-9270,Giza,1/28/2019,Male,"Health and beauty",91.4025
755-12-3214,Giza,3/5/2019,Female,"Fashion accessories",232.155
346-84-3103,Cairo,3/2/2019,Female,"Electronic accessories",69.405
478-06-7835,Alex,1/11/2019,Male,"Fashion accessories",94.1745
540-11-4336,Alex,1/11/2019,Male,"Food and beverages",235.683
448-81-5016,Alex,3/11/2019,Male,"Health and beauty",125.517
142-72-4741,Giza,2/28/2019,Male,"Fashion accessories",195.72
217-58-1179,Alex,1/5/2019,Male,"Home and lifestyle",263.13
376-02-8238,Cairo,2/2/2019,Male,"Home and lifestyle",788.508
530-90-9855,Alex,1/1/2019,Male,"Home and lifestyle",399.756
866-05-7563,Cairo,2/9/2019,Female,"Electronic accessories",256.41
604-70-6476,Alex,1/23/2019,Male,"Fashion accessories",94.185
799-71-1548,Alex,1/7/2019,Male,"Electronic accessories",326.424
785-13-7708,Cairo,1/14/2019,Male,"Food and beverages",536.991
845-51-0542,Cairo,2/2/2019,Male,"Food and beverages",439.8975
662-47-5456,Giza,3/17/2019,Male,"Fashion accessories",369.495
883-17-4236,Giza,3/2/2019,Female,"Sports and travel",30.219
290-68-2984,Alex,3/16/2019,Male,"Home and lifestyle",99.75
704-11-6354,Alex,1/6/2019,Male,"Home and lifestyle",494.76
110-48-7033,Cairo,1/29/2019,Male,"Fashion accessories",137.004
366-93-0948,Alex,1/31/2019,Male,"Electronic accessories",69.6675
729-09-9681,Alex,2/5/2019,Male,"Home and lifestyle",163.233
151-16-1484,Alex,2/13/2019,Male,"Electronic accessories",135.45
380-94-4661,Giza,2/7/2019,Male,"Electronic accessories",276.948
850-41-9669,Alex,3/19/2019,Female,"Electronic accessories",709.317
821-07-3596,Giza,3/7/2019,Female,"Fashion accessories",69.09
655-85-5130,Cairo,3/13/2019,Female,"Fashion accessories",160.86
447-15-7839,Alex,2/9/2019,Female,"Sports and travel",233.52
154-74-7179,Cairo,2/26/2019,Male,"Sports and travel",57.1725
253-12-6086,Alex,3/12/2019,Female,"Sports and travel",723.24
808-65-0703,Giza,3/14/2019,Male,"Home and lifestyle",148.974
571-94-0759,Cairo,1/8/2019,Female,"Food and beverages",783.3
144-51-6085,Alex,1/5/2019,Male,"Home and lifestyle",297.108
731-14-2199,Alex,1/4/2019,Female,"Home and lifestyle",373.17
783-09-1637,Cairo,3/6/2019,Female,"Sports and travel",354.0075
687-15-1097,Giza,1/3/2019,Female,"Health and beauty",44.352
126-54-1082,Alex,1/7/2019,Female,"Home and lifestyle",203.553
633-91-1052,Alex,1/27/2019,Female,"Home and lifestyle",25.263
477-24-6490,Cairo,2/26/2019,Female,"Health and beauty",628.173
566-19-5475,Cairo,1/7/2019,Male,"Fashion accessories",352.5795
526-86-8552,Giza,1/7/2019,Female,"Home and lifestyle",229.11
376-56-3573,Giza,2/2/2019,Female,"Fashion accessories",400.764
537-72-0426,Giza,3/20/2019,Male,"Fashion accessories",745.395
828-61-5674,Alex,3/20/2019,Male,"Sports and travel",462.21
136-08-6195,Alex,2/15/2019,Female,"Home and lifestyle",587.664
523-38-0215,Giza,3/6/2019,Male,"Home and lifestyle",38.85
490-29-1201,Alex,1/6/2019,Female,"Sports and travel",16.107
667-92-0055,Alex,3/4/2019,Male,"Health and beauty",628.929
565-17-3836,Alex,3/12/2019,Female,"Health and beauty",200.214
498-41-1961,Cairo,2/20/2019,Male,"Health and beauty",350.07
593-95-4461,Giza,3/24/2019,Male,"Home and lifestyle",78.603
226-71-3580,Giza,1/31/2019,Female,"Sports and travel",224.4375
283-79-9594,Cairo,1/25/2019,Female,"Food and beverages",356.5485
430-60-3493,Alex,2/3/2019,Female,"Home and lifestyle",697.368
139-20-0155,Cairo,1/24/2019,Male,"Electronic accessories",423.15
558-80-4082,Giza,3/14/2019,Male,"Electronic accessories",204.6975
278-97-7759,Alex,2/18/2019,Female,"Electronic accessories",65.604
316-68-6352,Alex,1/21/2019,Female,"Food and beverages",76.356
585-03-5943,Cairo,3/13/2019,Male,"Health and beauty",190.155
211-05-0490,Giza,3/3/2019,Female,"Electronic accessories",272.58
727-75-6477,Giza,3/29/2019,Male,"Electronic accessories",121.128
744-02-5987,Alex,1/10/2019,Male,"Home and lifestyle",493.794
307-83-9164,Alex,1/25/2019,Male,"Home and lifestyle",252.042
779-06-0012,Giza,1/19/2019,Female,"Home and lifestyle",93.0405
446-47-6729,Giza,1/2/2019,Male,"Fashion accessories",209.622
573-10-3877,Cairo,3/12/2019,Male,"Health and beauty",40.9605
735-06-4124,Giza,2/25/2019,Male,"Food and beverages",51.0405
439-54-7422,Alex,3/18/2019,Female,"Electronic accessories",214.998
396-90-2219,Cairo,2/23/2019,Female,"Electronic accessories",125.664
411-77-0180,Alex,3/26/2019,Male,"Electronic accessories",530.67
286-01-5402,Alex,3/30/2019,Female,"Sports and travel",295.6905
803-17-8013,Alex,2/17/2019,Female,"Home and lifestyle",745.836
512-98-1403,Alex,3/21/2019,Female,"Electronic accessories",83.412
848-42-2560,Alex,3/5/2019,Female,"Fashion accessories",172.011
532-59-7201,Cairo,1/31/2019,Male,"Sports and travel",503.559
181-94-6432,Giza,2/5/2019,Male,"Fashion accessories",145.593
870-76-1733,Alex,2/1/2019,Female,"Food and beverages",74.7075
423-64-4619,Alex,3/7/2019,Female,"Health and beauty",146.9475
227-07-4446,Giza,2/10/2019,Female,"Electronic accessories",820.365
174-36-3675,Giza,2/14/2019,Male,"Food and beverages",208.677
428-83-5800,Giza,2/9/2019,Female,"Food and beverages",66.402
603-07-0961,Giza,1/10/2019,Male,"Electronic accessories",392.6475
704-20-4138,Giza,3/11/2019,Female,"Health and beauty",218.0745
787-15-1757,Giza,2/18/2019,Male,"Health and beauty",185.094
649-11-3678,Giza,2/26/2019,Female,"Food and beverages",216.6885
622-20-1945,Giza,1/18/2019,Female,"Health and beauty",41.391
372-94-8041,Alex,2/15/2019,Male,"Health and beauty",96.138
563-91-7120,Alex,3/8/2019,Female,"Fashion accessories",324.2925
746-54-5508,Alex,1/17/2019,Male,"Home and lifestyle",135.576
276-54-0879,Cairo,3/12/2019,Male,"Sports and travel",410.508
815-11-1168,Alex,3/9/2019,Male,"Food and beverages",523.845
719-76-3868,Giza,3/12/2019,Male,"Food and beverages",395.892
730-61-8757,Cairo,1/25/2019,Male,"Health and beauty",214.746
340-66-0321,Alex,3/25/2019,Male,"Electronic accessories",152.712
868-81-1752,Cairo,2/7/2019,Male,"Home and lifestyle",208.089
634-97-8956,Alex,2/17/2019,Male,"Food and beverages",103.635
566-71-1091,Alex,2/3/2019,Male,"Fashion accessories",404.355
442-48-3607,Alex,3/14/2019,Male,"Food and beverages",49.308
835-16-0096,Giza,3/24/2019,Male,"Sports and travel",77.175
527-09-6272,Alex,3/21/2019,Female,"Electronic accessories",149.3625
898-04-2717,Alex,3/19/2019,Male,"Fashion accessories",721.98
692-27-8933,Cairo,2/24/2019,Female,"Sports and travel",365.085
633-09-3463,Giza,3/28/2019,Female,"Electronic accessories",150.0975
374-17-3652,Cairo,2/5/2019,Female,"Food and beverages",404.649
378-07-7001,Cairo,2/10/2019,Male,"Electronic accessories",151.4835
433-75-6987,Cairo,3/5/2019,Female,"Health and beauty",411.3795
873-95-4984,Cairo,2/15/2019,Female,"Health and beauty",565.215
416-13-5917,Giza,1/30/2019,Female,"Food and beverages",509.4075
150-89-8043,Alex,2/14/2019,Male,"Sports and travel",140.6475
135-84-8019,Alex,2/27/2019,Female,"Fashion accessories",736.4385
441-94-7118,Alex,2/4/2019,Male,"Electronic accessories",75.5475
725-96-3778,Giza,1/20/2019,Female,"Home and lifestyle",749.7
531-80-1784,Alex,3/28/2019,Male,"Electronic accessories",191.247
400-45-1220,Cairo,2/27/2019,Female,"Health and beauty",141.75
860-79-0874,Giza,2/15/2019,Female,"Fashion accessories",1042.65
834-61-8124,Alex,1/26/2019,Male,"Electronic accessories",379.9215
115-99-4379,Cairo,3/14/2019,Female,"Fashion accessories",402.2655
565-67-6697,Cairo,3/2/2019,Male,"Home and lifestyle",255.15
320-49-6392,Giza,3/4/2019,Female,"Electronic accessories",31.752
889-04-9723,Cairo,1/7/2019,Female,"Food and beverages",374.388
632-90-0281,Giza,3/8/2019,Female,"Fashion accessories",394.275
554-42-2417,Giza,1/9/2019,Female,"Sports and travel",1002.12
453-63-6187,Cairo,3/1/2019,Male,"Electronic accessories",86.625
578-80-7669,Cairo,3/16/2019,Male,"Sports and travel",78.7185
612-36-5536,Alex,2/17/2019,Male,"Food and beverages",680.064
605-72-4132,Giza,2/27/2019,Female,"Food and beverages",793.548
471-41-2823,Giza,3/7/2019,Male,"Food and beverages",209.559
462-67-9126,Alex,1/21/2019,Male,"Home and lifestyle",461.286
272-27-9238,Giza,2/19/2019,Female,"Food and beverages",173.208
834-25-9262,Giza,1/6/2019,Female,"Fashion accessories",343.056
122-61-9553,Giza,3/14/2019,Female,"Electronic accessories",484.974
468-88-0009,Alex,3/24/2019,Male,"Home and lifestyle",276.948
613-59-9758,Giza,1/27/2019,Female,"Sports and travel",150.78
254-31-0042,Alex,3/6/2019,Male,"Electronic accessories",203.175
201-86-2184,Cairo,2/2/2019,Female,"Electronic accessories",193.011
261-12-8671,Cairo,1/25/2019,Female,"Fashion accessories",128.016
730-70-9830,Giza,3/14/2019,Female,"Home and lifestyle",441.693
382-25-8917,Giza,1/29/2019,Male,"Fashion accessories",265.104
422-29-8786,Alex,1/3/2019,Female,"Home and lifestyle",352.2225
667-23-5919,Alex,1/14/2019,Female,"Fashion accessories",507.675
843-01-4703,Cairo,1/5/2019,Female,"Home and lifestyle",334.341
743-88-1662,Giza,2/22/2019,Male,"Sports and travel",701.8515
595-86-2894,Giza,2/6/2019,Male,"Fashion accessories",407.316
182-69-8360,Cairo,1/30/2019,Female,"Electronic accessories",99.33
289-15-7034,Alex,1/11/2019,Male,"Sports and travel",345.786
462-78-5240,Giza,3/19/2019,Female,"Electronic accessories",55.881
868-52-7573,Cairo,1/14/2019,Female,"Food and beverages",523.3725
153-58-4872,Giza,3/1/2019,Female,"Food and beverages",314.538
662-72-2873,Alex,1/6/2019,Female,"Food and beverages",214.935
525-88-7307,Cairo,1/31/2019,Male,"Sports and travel",79.611
689-16-9784,Giza,3/11/2019,Male,"Food and beverages",294.651
725-56-0833,Alex,2/20/2019,Female,"Health and beauty",339.36
394-41-0748,Giza,1/27/2019,Female,"Fashion accessories",510.9615
596-42-3999,Cairo,3/10/2019,Male,"Food and beverages",133.917
541-89-9860,Giza,2/15/2019,Female,"Fashion accessories",253.512
173-82-9529,Cairo,1/26/2019,Female,"Fashion accessories",398.475
563-36-9814,Alex,2/13/2019,Male,"Electronic accessories",80.661
308-47-4913,Alex,3/9/2019,Female,"Sports and travel",548.73
885-17-6250,Alex,3/6/2019,Female,"Health and beauty",83.727
726-27-2396,Alex,1/24/2019,Female,"Health and beauty",406.875
316-01-3952,Alex,3/13/2019,Female,"Food and beverages",284.9175
760-54-1821,Cairo,3/15/2019,Male,"Home and lifestyle",128.4255
793-10-3222,Cairo,3/5/2019,Female,"Health and beauty",258.678
346-12-3257,Cairo,3/4/2019,Male,"Electronic accessories",181.818
110-05-6330,Giza,3/25/2019,Female,"Food and beverages",248.409
651-61-0874,Giza,3/12/2019,Male,"Home and lifestyle",194.124
236-86-3015,Giza,2/4/2019,Male,"Home and lifestyle",14.679
831-64-0259,Cairo,2/22/2019,Female,"Fashion accessories",208.6875
587-03-7455,Giza,2/16/2019,Female,"Fashion accessories",718.7565
882-40-4577,Alex,1/19/2019,Male,"Sports and travel",282.492
732-67-5346,Alex,1/11/2019,Male,"Food and beverages",72.3975
